root_id,top_in/out_region,community_labels,predicted_nt_type,predicted_nt_confidence,verified_nt_type,verified_neuropeptide,body_part,function,flow,super_class,class,sub_class,hemilineage,nerve,soma_side,primary_cell_type,alternative_cell_type(s),cable_length_(nm),surface_area_(nm^2),volume_(nm^3),known_nt_simplified,top_nt,idx,sign
720575941561208232,T3_METANM.NO_CONS,"innervates T3 leg,innervates leg,innervates right side of body",gaba,0.35,glutamate,,hind_leg,"flex_coxa_trochanter_joint,leg_motor",efferent,motor,leg_motor_neuron,hind_leg_motor_neuron,24B.25B,right_metathoracic_leg_nerve,right,trochanter_flexor,"trochanter_flexor,trochanter_flexor_dorsomedial_ribbon",,,,glutamate,glutamate,70461,-1
720575941561210024,ANM.HTCT,soma in VNC,acetylcholine,0.9,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,19B,,right,IN19B094,IN19B094,,,,acetylcholine,acetylcholine,70462,1
720575941561214765,ME.LO,soma in brain,acetylcholine,0.67,,,,,,,,,,,left,,,,,,,gaba,70463,-1
720575941561229480,PLP,soma in brain,glutamate,0.79,,,,,intrinsic,visual_projection,lobula_columnar,,,,left,LCe01b,LCe01b,,,,,glutamate,70464,-1
720575941561243181,ME,soma in brain,gaba,0.51,,,,,,,,,,,left,,,,,,,gaba,70465,-1
720575941561244205,ME.LO,soma in brain,acetylcholine,0.61,,,,,,,,,,,left,,,,,,,gaba,70466,-1
720575941561252776,PVLP.AVLP,soma in brain,acetylcholine,0.55,,,,,intrinsic,central_brain_intrinsic,,,putative_primary,,right,WED116,WED116,,,,,acetylcholine,70467,1
720575941561270952,LAL,soma in brain,glutamate,0.81,,,,,intrinsic,central_brain_intrinsic,,,SLPa&l1_lateral,,left,CB2190,CB2190,,,,,glutamate,70468,-1
720575941561288493,FB,,glutamate,0.97,glutamate,,,,intrinsic,central_brain_intrinsic,central_complex_input_neuron,FB_tangential,SIPp1,,left,FB7M,FB7M,,,,glutamate,glutamate,70469,-1
720575941561288749,PLP,soma in brain,acetylcholine,0.32,,,,,intrinsic,central_brain_intrinsic,,,LHl4_posterior,,left,PLP100,PLP100,,,,,acetylcholine,70470,1
720575941561289517,AMNP,soma in VNC,gaba,0.94,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,,,left,INXXX044,INXXX044,,,,,gaba,70471,-1
720575941561290029,FB,soma in brain,acetylcholine,0.74,,,,,,central_brain_intrinsic,central_complex_intrinsic_neuron,vDelta,,,left,vDeltaA_b,vDeltaA_b,,,,,acetylcholine,70472,1
720575941561291565,SLP.MB_ML,"KCab-p?,soma in brain",dopamine,0.48,,,,,,central_brain_intrinsic,kenyon_cell,,,,right,KCab-p,KCab-p,,,,,acetylcholine,70473,1
720575941561302440,ME,"CNS neuron,soma in brain",acetylcholine,0.92,acetylcholine,,,,intrinsic,optic_lobe_intrinsic,transmedullary_y,,,,right,TmY3,TmY3,,,,acetylcholine,acetylcholine,70474,1
720575941561304978,INTTCT.HTCT,soma in VNC,gaba,0.99,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,06A,,right,IN06A096,IN06A096,,,,gaba,gaba,70475,-1
720575941561305133,ME,"CNS neuron,soma in brain",gaba,0.61,"gaba,nitric_oxide",sNPF,,,intrinsic,optic_lobe_intrinsic,proximal_medulla,,,,right,Pm05,Pm05,,,,gaba,gaba,70476,-1
720575941561305901,PLP.SMP,soma in brain,glutamate,0.82,,,,,,,,,,,left,CB1148,CB1148,,,,,glutamate,70477,-1
720575941561307794,ANM,,serotonin,0.32,,,abdominal_wall,"bitter,gustatory",afferent,sensory,multidendritic_neuron,abdominal_wall_multidendritic_neuron,,abdominal_nerve_trunk,left,SNxx20,SNxx20,,,,,glutamate,70478,-1
720575941561308818,WTCT,soma in VNC,acetylcholine,0.91,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_restricted,19B,,left,IN19B067,IN19B067,,,,acetylcholine,acetylcholine,70479,1
720575941561313069,T3_METANM,soma in VNC,acetylcholine,0.9,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,03A,,left,IN03A025,IN03A025,,,,acetylcholine,acetylcholine,70480,1
720575941561319725,T2_MESONM,soma in VNC,gaba,0.97,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,13A,,right,IN13A014,IN13A014,,,,gaba,gaba,70481,-1
720575941561320493,HTCT,soma in VNC,gaba,0.99,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,03B,,left,IN03B058,IN03B058,,,,,gaba,70482,-1
720575941561321005,T1_PRONM.T2_MESONM,soma in VNC,acetylcholine,0.94,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,sequential_leg_neuromeres,ventral_nerve_cord_bilateral_interconnecting,01A,,right,IN01A005,IN01A005,,,,acetylcholine,acetylcholine,70483,1
720575941561324845,HTCT.T2_MESONM,soma in VNC,acetylcholine,0.93,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_contralateral_interconnecting,01A,,right,IN01A031,IN01A031,,,,acetylcholine,acetylcholine,70484,1
720575941561334061,NTCT.GNG,"AN_GNG_38,soma in VNC",gaba,0.94,,,,,intrinsic,ascending,ascending_neuron,,,,left,ANXXX200,ANXXX200,,,,,gaba,70485,-1
