,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign
41704,720575940628833989,AN_GNG_137,right,glutamate,ascending,AN,AN_GNG,,,33549,-1
41705,720575940620706486,AN_AVLP_52,right,gaba,ascending,AN,AN_AVLP,,,17286,-1
41706,720575940620291286,720575940620291286,right,acetylcholine,ascending,AN,,,,16499,1
41707,720575940618066369,AN_GNG_162,right,acetylcholine,ascending,AN,AN_GNG,,,12907,1
41708,720575940617555897,AN_GNG_117,right,acetylcholine,ascending,AN,AN_GNG,,,12230,1
41709,720575940617556153,AN_multi_32,right,gaba,ascending,AN,AN_multi,,,12231,-1
41710,720575940648652921,AN_multi_35,right,acetylcholine,ascending,AN,AN_multi,,,49772,1
41711,720575940615247316,AN_GNG_92,right,acetylcholine,ascending,AN,AN_GNG,,,9076,1
41712,720575940610056516,AN_AVLP_27,right,acetylcholine,ascending,AN,AN_AVLP,,,3353,1
41713,720575940629280835,AN_GNG_192,right,glutamate,ascending,AN,AN_GNG,,,34458,-1
41714,720575940644464919,SA_VTV_9,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,48761,1
41715,720575940628952875,AN_GNG_WED_2,right,acetylcholine,ascending,AN,AN_GNG_WED,,,33813,1
41716,720575940623064909,AN_multi_122,right,acetylcholine,ascending,AN,AN_multi,,,22046,1
41717,720575940626394114,AN_multi_69,right,acetylcholine,ascending,AN,AN_multi,,,28481,1
41718,720575940625854616,AN_VES_WED_1,right,acetylcholine,ascending,AN,AN_VES_WED,,,27370,1
41719,720575940609244110,AN_GNG_98,right,acetylcholine,ascending,AN,AN_GNG,,,2857,1
41720,720575940626522910,labial_nerve_sensory_descending,right,serotonin,sensory,mechanosensory,unknown,,,28718,1
41721,720575940617251841,AN_GNG_SAD_7,right,acetylcholine,ascending,AN,AN_GNG_SAD,,,11786,1
41722,720575940630139556,SA_DLV,right,acetylcholine,ascending,AN,SA_DLV,,,36129,1
41723,720575940639746979,AN_AVLP_51,right,acetylcholine,ascending,AN,AN_AVLP,,,47043,1
41724,720575940616943572,AN_multi_68,right,acetylcholine,ascending,AN,AN_multi,,,11351,1
41725,720575940638631843,SA_VTV_4,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,46082,1
41726,720575940622155290,AN_GNG_20,right,dopamine,ascending,AN,AN_GNG,,,20153,1
41727,720575940630058752,AN_AVLP_9,right,gaba,ascending,AN,AN_AVLP,,,35989,-1
41728,720575940632632474,AN_AVLP_51,right,acetylcholine,ascending,AN,AN_AVLP,,,40318,1
41729,720575940617415803,AN_AVLP_10,right,gaba,ascending,AN,AN_AVLP,,,12007,-1
41730,720575940613235615,AN_GNG_165,right,acetylcholine,ascending,AN,AN_GNG,,,6715,1
41731,720575940628358533,AN_AMMC_SAD_2,right,gaba,ascending,AN,AN_AVLP,,,32590,-1
41732,720575940625175310,AN_GNG_111,right,serotonin,ascending,AN,AN_GNG,,,26052,1
41733,720575940633178872,SA_DLV,right,acetylcholine,ascending,AN,SA_DLV,,,41021,1
41734,720575940614658727,AN_GNG_126,right,gaba,ascending,AN,AN_GNG,,,8362,-1
41735,720575940640373557,AN_GNG_167,right,glutamate,ascending,AN,AN_GNG,,,47425,-1
41736,720575940617674053,SA_VTV_PDMN_1,right,serotonin,ascending,AN,SA_VTV_PDMN,,,12379,1
41737,720575940633303988,SA_VTV_5,right,glutamate,ascending,AN,SA_VTV_pro_meso_meta,,,41233,-1
41738,720575940641229520,AN_GNG_101,right,gaba,ascending,AN,AN_GNG,,,47795,-1
41739,720575940632011091,AN_AVLP_SAD_3,right,gaba,ascending,AN,AN_AVLP_SAD,,,39521,-1
41740,720575940615572597,AN_GNG_160,right,acetylcholine,ascending,AN,AN_GNG,,,9471,1
41741,720575940639232309,AN_GNG_AMMC_2,right,gaba,ascending,AN,AN_GNG_AMMC,,,46690,-1
41742,720575940635630308,SA_VTV_8,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,43539,1
41743,720575940629669433,AN_GNG_190,right,acetylcholine,ascending,AN,AN_GNG,,,35224,1
41744,720575940614380771,AN_AVLP_51,right,acetylcholine,ascending,AN,AN_AVLP,,,8022,1
41745,720575940632716698,720575940632716698,right,acetylcholine,ascending,AN,,,,40438,1
41746,720575940612326654,SA_DLV,right,acetylcholine,ascending,AN,SA_DLV,,,5669,1
41747,720575940637383027,AN_IPS_1,right,acetylcholine,ascending,AN,AN_IPS_GNG,,,44991,1
41748,720575940623901415,AN_AVLP_44,right,acetylcholine,ascending,AN,AN_AVLP,,,23614,1
41749,720575940637671552,AN_AVLP_GNG_21,right,acetylcholine,ascending,AN,AN_AVLP_GNG,,,45272,1
41750,720575940637689728,SA_VTV_3,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,45300,1
41751,720575940629876473,AN_GNG_167,right,glutamate,ascending,AN,AN_GNG,,,35613,-1
41752,720575940625809539,AN_multi_106,right,acetylcholine,ascending,AN,AN_multi,,,27279,1
41753,720575940639571931,AN_GNG_192,right,glutamate,ascending,AN,AN_GNG,,,46905,-1
41754,720575940639960717,720575940639960717,right,gaba,ascending,AN,,,,47184,-1
41755,720575940630705170,AN_GNG_23,right,gaba,ascending,AN,AN_GNG,,,37185,-1
41756,720575940635634533,AN_AVLP_35,right,acetylcholine,ascending,AN,AN_AVLP,,,43547,1
41757,720575940609713710,AN_multi_10,right,acetylcholine,ascending,AN,AN_multi,,,3103,1
41758,720575940636538340,AN_AVLP_PVLP_9,right,acetylcholine,ascending,AN,AN_AVLP_PVLP,,,44293,1
41759,720575940659264385,AN_AVLP_GNG_6,right,acetylcholine,ascending,AN,AN_AVLP_GNG,,,50451,1
41760,720575940647654521,AN_GNG_196,right,serotonin,ascending,AN,AN_GNG,,,49673,1
41761,720575940624005834,AN_AVLP_GNG_3,right,gaba,ascending,AN,AN_AVLP_GNG,,,23834,-1
41762,720575940629075697,AN_GNG_51,right,gaba,ascending,AN,AN_GNG,,,34070,-1
41763,720575940618599150,AN_AVLP_48,right,acetylcholine,ascending,AN,AN_AVLP,,,13617,1
41764,720575940650082038,AN_GNG_188,right,gaba,ascending,AN,AN_GNG,,,49893,-1
41765,720575940657585025,AN_GNG_99,right,glutamate,ascending,AN,AN_GNG,,,50369,-1
41766,720575940657604737,AN_GNG_165,right,acetylcholine,ascending,AN,AN_GNG,,,50372,1
41767,720575940613834438,720575940613834438,right,gaba,ascending,AN,,,,7390,-1
41768,720575940619519092,AN_AVLP_PVLP_1,right,acetylcholine,ascending,AN,AN_AVLP_PVLP,,,15034,1
41769,720575940621650712,AN_AVLP_PVLP_10,right,acetylcholine,ascending,AN,AN_AVLP_PVLP,,,19160,1
41770,720575940626163697,SA_VTV_3,left,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,28037,1
41771,720575940611477229,720575940611477229,right,unknown,ascending,AN,,,,4705,1
41772,720575940623351295,AN_GNG_73,right,gaba,ascending,AN,AN_GNG,,,22662,-1
41773,720575940619249648,720575940619249648,right,acetylcholine,ascending,AN,SA_DMT_DMetaN,,,14639,1
41774,720575940625454162,AN_GNG_SAD_2,right,acetylcholine,ascending,AN,AN_GNG_SAD,,,26515,1
41775,720575940617539355,AN_GNG_PRW_1,right,gaba,ascending,AN,AN_GNG_PRW,,,12206,-1
41776,720575940621241072,AN_multi_106,right,acetylcholine,ascending,AN,AN_multi,,,18295,1
41777,720575940626533634,AN_multi_62,right,acetylcholine,ascending,AN,AN_multi,,,28745,1
41778,720575940628250076,AN_GNG_177,right,acetylcholine,ascending,AN,AN_GNG,,,32362,1
41779,720575940625145221,SA_DMT_DMetaN_8,right,acetylcholine,ascending,AN,SA_DMT_DMetaN,,,25987,1
41780,720575940613003487,720575940613003487,right,acetylcholine,ascending,AN,SA_DMT_DMetaN,,,6460,1
41781,720575940615297681,AN_AVLP_13,right,acetylcholine,ascending,AN,AN_AVLP,,,9151,1
41782,720575940637464691,AN_AVLP_GNG_17,right,acetylcholine,ascending,AN,AN_AVLP_GNG,,,45060,1
41783,720575940631096527,AN_GNG_132,right,glutamate,ascending,AN,AN_GNG,,,37916,-1
41784,720575940636706118,AN_GNG_94,right,acetylcholine,ascending,AN,AN_GNG,,,44451,1
41785,720575940624910887,AN_GNG_SAD_3,right,gaba,ascending,AN,AN_GNG_SAD,,,25538,-1
41786,720575940624984378,SA_DMT_DMetaN_5,right,acetylcholine,ascending,AN,SA_DMT_DMetaN,,,25671,1
41787,720575940632670156,AN_multi_18,right,acetylcholine,ascending,AN,AN_multi,,,40375,1
41788,720575940627903804,SA_VTV_2,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,31653,1
41789,720575940628391686,AN_multi_18,right,acetylcholine,ascending,AN,AN_multi,,,32671,1
41790,720575940619346102,720575940619346102,right,acetylcholine,ascending,AN,,,,14766,1
41791,720575940618423899,AN_FLA_VES_1,right,acetylcholine,ascending,AN,AN_GNG,,,13380,1
41792,720575940627701548,AN_GNG_IPS_14,right,acetylcholine,ascending,AN,AN_GNG_IPS,,,31289,1
41793,720575940603768497,720575940603768497,right,acetylcholine,ascending,AN,SA_DMT_DMetaN,,,190,1
41794,720575940647524473,SA_DMT_ADMN_1,right,acetylcholine,ascending,AN,SA_DMT_ADMN,,,49660,1
41795,720575940606274827,AN_IPS_GNG_6,right,acetylcholine,ascending,AN,AN_IPS_GNG,,,1283,1
41796,720575940617440539,AN_GNG_2,right,acetylcholine,ascending,AN,AN_GNG,,,12042,1
41797,720575940606537429,AN_GNG_55,right,acetylcholine,ascending,AN,AN_GNG,,,1387,1
41798,720575940607045059,SA_DMT_DMetaN_12,right,acetylcholine,ascending,AN,SA_DMT_DMetaN,,,1710,1
41799,720575940617446449,720575940617446449,right,acetylcholine,ascending,AN,SA_DMT_DMetaN,,,12052,1
