pre_root_id,post_root_id,syn_count
15493,519904,3
15493,69407,3
15493,17701,1
15493,18732,2
15493,23850,2
15493,15682,16
15493,20803,2
15493,14146,2
15493,14698,6
15493,13162,1
15493,514925,1
15493,11632,3
15493,18802,1
15493,25977,1
15493,70011,2
15493,11147,2
15493,57240,2
15493,520088,1
15493,10137,4
15493,13222,1
15493,20392,2
15493,14786,8
15493,19948,1
15493,80886,1
93136,118811,1
93136,98856,4
93136,57782,1
93136,531527,4
93136,133324,2
53715,50248,2
53715,64608,3
53715,96401,1
53715,56476,3
53715,78072,1
53715,51966,1
53715,66817,1
53715,75539,1
53715,46905,3
53715,62318,1
53715,18336,1
80093,127744,1
80093,35724,1
80093,133904,1
80093,166421,1
80093,52249,7
80093,165157,1
80093,64817,1
80093,35512,2
80093,51002,4
80093,74853,2
80093,98936,1
114223,92212,1
114223,19062,1
114223,11390,1
114223,21736,2
114223,556286,1
103550,29437,1
103550,551576,1
103550,44962,3
103550,535110,1
103550,147945,1
103550,110573,2
103550,528880,3
103550,198398,7
102240,49921,1
102240,26669,1
102240,89262,1
102240,23250,1
102240,72286,2
102240,75257,2
27517,10529,2
27517,12577,1
27517,151795,3
27517,199295,2
60937,72357,1
60937,46254,1
60937,142673,1
60937,29279,1
63540,119296,2
63540,21001,2
63540,543248,3
63540,529432,4
63540,82491,1
63540,107607,1
63540,66140,1
63540,14984,2
63540,21138,1
63540,73407,1
63540,18130,1
63540,19678,6
63540,112862,4
63540,532264,5
63540,107828,2
63540,45365,1
63540,517447,3
63540,75104,1
63540,529783,5
63540,101288,2
63540,201144,1
63540,88509,1
63540,78280,1
63540,129999,1
74610,23339,1
74610,10470,1
74610,10877,2
13711,27904,1
13711,13959,1
13711,11532,1
13711,11279,1
13711,10395,1
13711,17445,2
13711,14257,1
13711,10934,1
13711,75333,1
13711,514522,3
13711,12519,4
13711,21609,3
13711,12148,1
13711,29684,2
13711,15739,1
127500,10753,2
127500,521770,1
127500,512047,1
127500,10678,1
127500,13238,2
127500,41289,1
127500,11735,2
127500,153713,1
800911,800147,1
800911,12443,1
800911,902438,1
800911,14121,1
800911,804141,1
800911,806840,1
800911,800442,1
800911,800441,1
800911,812224,1
800911,803806,1
800911,26088,1
800911,908657,1
800911,803187,1
800911,935927,1
107498,66188,1
107498,73298,1
107498,70239,1
807615,807944,1
807615,903693,1
807615,809033,12
807615,801512,4
807615,806157,1
807615,907619,1
807615,803186,2
807615,802678,2
807615,800671,9
160078,26772,2
160078,64075,1
160078,66157,2
160078,55678,3
150099,132420,1
150099,77548,1
59170,21662,1
59170,519981,1
59170,518577,1
59170,33710,1
59170,91957,1
59170,12093,1
59170,11339,1
59170,23028,1
91528,70037,1
91528,54625,1
91528,41833,1
75045,16141,1
75045,18844,2
75045,21790,2
75045,57772,1
75045,24660,1
75045,12122,2
75045,10996,1
70092,10011,1
70092,115914,1
70092,542844,2
173132,12688,1
173132,210644,2
104483,82857,1
104483,71145,3
70904,102028,1
70904,193684,2
70904,57004,1
70904,189519,1
70904,70103,1
70904,44504,4
70904,44767,2
70904,63076,1
70904,66924,2
51050,11146,1
51050,20005,6
51050,65068,1
51050,90878,2
537140,539396,3
537140,537501,1
537140,47275,1
537140,69560,1
537140,74715,1
537140,50784,3
537140,118119,1
537140,544362,2
537140,41716,1
69413,121235,1
45312,116102,2
45312,10260,1
45312,124443,1
45312,166430,1
45312,51744,1
45312,112672,1
45312,124975,1
108709,124289,1
52814,515091,2
52814,39739,1
52814,53975,1
52814,20847,1
52814,12786,1
52814,54526,1
61602,520453,1
61602,205626,6
61602,74311,4
61602,33498,12
61602,201826,1
61602,132724,1
207353,12454,1
207353,10049,1
207353,10111,1
119318,104962,1
119318,122658,1
119318,74579,1
85534,86273,1
85534,58380,2
85534,74415,30
85534,69316,5
85534,69970,1
85534,41454,1
113999,158221,1
113999,10129,1
113999,167715,2
113999,12710,2
113999,31279,3
113999,93055,2
113999,142710,1
520410,18444,1
520410,30743,3
520410,12361,1
520410,24664,1
520410,65630,17
520410,14441,2
520410,141420,1
520410,106628,1
520410,69766,1
520410,516233,2
520410,139410,1
520410,71839,1
520410,188578,2
520410,12454,1
520410,59560,2
520410,32988,2
520410,129244,2
520410,57574,2
520410,12542,7
520410,24830,1
520410,227592,1
520410,39191,2
520410,141597,2
520410,28978,1
520410,94550,3
520410,31075,2
520410,31093,4
520410,905600,1
520410,27028,1
520410,51613,4
520410,123308,1
520410,18875,1
520410,41407,3
520410,61921,2
520410,53736,1
520410,522732,4
520410,27117,1
520410,526828,1
520410,61951,1
520410,10753,3
520410,31236,2
520410,522760,10
520410,12809,1
520410,29211,1
520410,78384,3
520410,41527,1
520410,381503,1
520410,51799,2
520410,524897,1
520410,516739,1
520410,107167,1
520410,43695,1
520410,29364,2
520410,39608,1
520410,51907,1
520410,135889,1
520410,90835,1
520410,97000,1
520410,68341,1
520410,201474,1
520410,17155,12
520410,518919,1
520410,129813,1
520410,82709,1
520410,512789,1
520410,54058,1
520410,74550,1
520410,37694,1
520410,35661,1
520410,11092,1
520410,29541,1
520410,125804,2
520410,82810,1
520410,119692,3
520410,72597,1
520410,123814,1
520410,162745,1
520410,19387,1
520410,541630,1
520410,136147,1
520410,33773,1
520410,107510,1
520410,48120,8
520410,138254,1
520410,15376,1
520410,132117,1
520410,13384,1
520410,521309,2
520410,527461,1
520410,121969,1
520410,142448,1
520410,85111,4
520410,128139,2
520410,580769,1
520410,115903,1
