pre_root_id,post_root_id,syn_count
35698,10041,3
55361,10041,1
42259,10041,1
13773,10041,1
521529,10041,1
521538,10041,2
521190,10041,1
14003,10041,1
39080,10041,1
12880,10041,2
53858,10041,2
529708,10041,1
13227,10041,2
13157,10041,1
13241,10041,2
13651,10041,2
37433,10041,2
13543,10041,1
55385,10041,2
44484,10041,2
513233,10041,2
513791,10041,1
18316,10041,2
16735,10041,1
16665,10041,2
16139,10041,2
17518,10041,1
125550,10041,1
517098,10041,2
519722,10041,1
14830,10041,1
19502,10041,2
516098,10041,2
11750,10041,2
11787,10041,2
555747,10041,2
566769,10041,2
575669,10041,2
11723,10041,2
11967,10041,2
10975,10041,2
68332,10041,2
10875,10041,2
34040,10041,2
534301,10041,1
58172,10041,2
12714,10041,2
93357,10041,2
12697,10041,2
12475,10041,2
12724,10041,1
26353,10041,2
11532,10041,1
13036,10041,1
10405,10041,1
15563,10041,1
512314,10041,1
13040,10041,1
15586,10041,1
531557,10041,1
511797,10041,1
11306,10041,1
512006,10041,1
15364,10041,1
11472,10041,1
15383,10041,1
15384,10041,1
535761,10041,1
513864,10041,1
10384,10041,1
10383,10041,1
13084,10041,1
11497,10041,1
512750,10041,1
11371,10041,1
10399,10041,1
512544,10041,1
513238,10041,1
12610,10041,1
15464,10041,1
10442,10041,1
11066,10041,1
16266,10041,1
12708,10041,1
533667,10041,1
10995,10041,1
10011,10041,1
16495,10041,1
12809,10041,1
10969,10041,1
11035,10041,1
312712,10041,1
305105,10041,1
15955,10041,1
12683,10041,1
10897,10041,1
11232,10041,1
12907,10041,1
11155,10041,1
15990,10041,1
11195,10041,1
267996,10041,1
14064,10041,1
12000,10041,1
12355,10041,1
520815,10041,1
14112,10041,1
13450,10041,1
520388,10041,1
520485,10041,1
12043,10041,1
12030,10041,1
10654,10041,1
521147,10041,1
519716,10041,1
519624,10041,1
14338,10041,1
14315,10041,1
520341,10041,1
519945,10041,1
11945,10041,1
12273,10041,1
523769,10041,1
12174,10041,1
10608,10041,1
10289,10041,1
10301,10041,1
521972,10041,1
521633,10041,1
10652,10041,1
12282,10041,1
523446,10041,1
523455,10041,1
523049,10041,1
529603,10041,1
516170,10041,1
529803,10041,1
14746,10041,1
14717,10041,1
12508,10041,1
10145,10041,1
515460,10041,1
11571,10041,1
12550,10041,1
10814,10041,1
11588,10041,1
530155,10041,1
14939,10041,1
539226,10041,1
10192,10041,1
10711,10041,1
519129,10041,1
14407,10041,1
539413,10041,1
11878,10041,1
10215,10041,1
10211,10041,1
10212,10041,1
14651,10041,1
558803,10041,1
555342,10041,1
67605,10041,1
32174,10041,1
61079,10041,1
62055,10041,1
62156,10041,1
35168,10041,1
34018,10041,1
64627,10041,1
78428,10041,1
29939,10041,1
29785,10041,1
81629,10041,1
81087,10041,1
82136,10041,1
71649,10041,1
30541,10041,1
40385,10041,1
50575,10041,1
42601,10041,1
42270,10041,1
41961,10041,1
46152,10041,1
36494,10041,1
56455,10041,1
60266,10041,1
38372,10041,1
52805,10041,1
19632,10041,1
20131,10041,1
19463,10041,1
19570,10041,1
21849,10041,1
117667,10041,1
20938,10041,1
