pre,post,plen,connected,effconn,effconn_e,effconn_ad,effconn_ad_e
JO-EVP,JO-EVP,4,True,0.0027637423481792,0.0004291130462661,0.0,0.0
JO-EVP,JO-EVP,5,True,0.0014922125265002,7.640071271453053e-05,0.0,0.0
JO-FVA,JO-FVA,1,True,0.23881196975708,0.23881196975708,0.0,0.0
JO-FVA,JO-FVA,2,True,0.0682939141988754,0.0614480599761009,0.0,0.0
JO-FVA,JO-FVA,3,True,0.0213252119719982,0.0164817702025175,0.0,0.0
JO-FVA,JO-FVA,4,True,0.0077669699676334,0.0045634219422936,0.0,0.0
JO-FVA,JO-FVA,5,True,0.0035568829625844,0.0013033288996666,0.0,0.0
JO-FVL,JO-FVL,1,True,0.0092592593282461,0.0092592593282461,0.0,0.0
JO-FVL,JO-FVL,2,True,0.0026982950512319,0.0023943840060383,0.0,0.0
JO-FVL,JO-FVL,3,True,0.0001561357348691,9.283179679187016e-05,0.0,0.0
JO-FVL,JO-FVL,4,True,5.44489776075352e-05,1.4472818293143064e-05,0.0,0.0
JO-FVL,JO-FVL,5,True,2.675194264156744e-05,2.781510829663602e-06,0.0,0.0
JO-FDA,JO-FDA,1,True,0.1136902347207069,0.1136902347207069,0.0,0.0
JO-FDA,JO-FDA,2,True,0.0236520413309335,0.0154490582644939,0.0,0.0
JO-FDA,JO-FDA,3,True,0.006310639437288,0.0027336217463016,0.0,0.0
JO-FDA,JO-FDA,4,True,0.002707733772695,0.0006056841812096,0.0,0.0
JO-FDA,JO-FDA,5,True,0.0015581521438434,0.000162106778589,0.0,0.0
JO-EV,JO-EV,1,True,0.0770947411656379,0.0770947411656379,0.0,0.0
JO-EV,JO-EV,2,True,0.0171268358826637,0.0101672774180769,0.0,0.0
JO-EV,JO-EV,3,True,0.0048499661497771,0.0014832069864496,0.0,0.0
JO-EV,JO-EV,4,True,0.0021305738482624,0.0002557286934461,0.0,0.0
JO-EV,JO-EV,5,True,0.0012695140903815,4.868327232543379e-05,0.0,0.0
JO-FDP,JO-FDP,1,True,0.0344501920044422,0.0344501920044422,0.0,0.0
JO-FDP,JO-FDP,2,True,0.0064717601053416,0.0022879019379615,0.0,0.0
JO-FDP,JO-FDP,3,True,0.0011316974414512,0.0001799718302208,0.0,0.0
JO-FDP,JO-FDP,4,True,0.0005331333959475,2.271384983032476e-05,0.0,0.0
JO-FDP,JO-FDP,5,True,0.0003046265337616,4.322610948293004e-06,0.0,0.0
JO-EVL,JO-EVL,1,True,0.0630215927958488,0.0630215927958488,0.0,0.0
JO-EVL,JO-EVL,2,True,0.0469454005360603,0.0052876472473144,0.0,0.0
JO-EVL,JO-EVL,3,True,0.0087187197059392,0.0005424726987257,0.0,0.0
JO-EVL,JO-EVL,4,True,0.004869578871876,6.75720366416499e-05,0.0,0.0
