bodyId,cell_type,side,idx
5813054748,LC14,right,21402
5813054760,ORN_DM1,left,21403
5813054773,l2LN18,right,21404
5813054777,lLN1_b,right,21405
5813054797,WED109,right,21406
5813054821,WED036_b,right,21407
5813054846,LAL156,right,21408
5813054847,LAL058,right,21409
5813054857,LAL083,right,21410
5813054867,LPC1,noside,21411
5813054882,AVLP261,right,21412
5813054911,M_vPNml74,right,21413
5813054931,PS069,right,21414
5813054961,WED049,right,21415
5813054967,ORN_VM7v,noside,21416
5813054974,AVLP346,right,21417
5813054996,PS041,right,21418
5813055019,AVLP203,right,21419
5813055025,VA3_adPN,right,21420
5813055048,DC2_adPN,right,21421
5813055080,LPLC1,right,21422
5813055125,SAD057,right,21423
5813055129,LC4,noside,21424
5813055134,VES083,right,21425
5813055147,VC4_adPN,right,21426
5813055162,VA1d_adPN,right,21427
5813055180,VA7m_lPN,right,21428
5813055184,D_adPN,right,21429
5813055222,AVLP093,right,21430
5813055277,lLN2T_a,right,21431
5813055293,PS089,right,21432
5813055298,VES001,right,21433
5813055328,WED072,right,21434
5813055340,SAD045,right,21435
5813055439,SAD021_a,right,21436
5813055448,vLN29,right,21437
5813055495,LT57,right,21438
5813055535,SMP576,right,21439
5813055629,WEDPN8C,right,21440
5813055632,SAD080,right,21441
5813055709,SLP074,right,21442
5813055734,LHPV6a4_c,right,21443
5813055748,SLP297,right,21444
5813055749,SMP185,right,21445
5813055759,SMP467,right,21446
5813055760,SLP429,right,21447
5813055766,SMP486_b,right,21448
5813055768,SMP025,right,21449
5813055769,SLP212,left,21450
5813055773,SMP094,right,21451
5813055790,SMP219,right,21452
5813055798,SLP052,right,21453
5813055800,LHPD5d1,right,21454
5813055813,SMP432_a,right,21455
5813055817,PAL01,left,21456
5813055825,SLP044_c,right,21457
5813055833,CL042,right,21458
5813055834,FB6A,right,21459
5813055853,SLP065,right,21460
5813055859,SLP019,right,21461
5813055862,SLP214,right,21462
5813055865,LHAD1f2,right,21463
5813055866,SLP015_a,right,21464
5813055889,KCab-s,right,21465
5813055903,CL057,right,21466
5813055904,aSP-f1B,right,21467
5813055907,SLP015_b,right,21468
5813055913,FB1C,right,21469
5813055914,KCab-s,right,21470
5813055916,KCab-c,right,21471
5813055923,KCg-m,right,21472
5813055924,KCg-m,right,21473
5813055932,SMP307,right,21474
5813055949,SMP175,right,21475
5813055963,LHPV4a11,right,21476
5813055999,FC2A,left,21477
