pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
AN_GNG_125,CB2247,2,False,False,False,False,False,False
AN_GNG_125,CB2247,3,False,False,False,False,False,False
AN_GNG_125,CB2247,4,False,False,False,False,False,False
AN_GNG_125,CB2247,5,False,False,False,False,False,False
AN_GNG_125,PS183,2,False,False,False,False,False,False
AN_GNG_125,PS183,3,False,False,False,False,False,False
AN_GNG_125,PS183,4,False,False,False,False,False,False
AN_GNG_125,PS183,5,False,False,False,False,False,False
AN_GNG_125,CB1149,2,False,False,False,False,False,False
AN_GNG_125,CB1149,3,False,False,False,False,False,False
AN_GNG_125,CB1149,4,False,False,False,False,False,False
AN_GNG_125,CB1149,5,False,False,False,False,False,False
AN_GNG_125,AN_GNG_28,2,False,False,False,False,False,False
AN_GNG_125,AN_GNG_28,3,False,False,False,False,False,False
AN_GNG_125,AN_GNG_28,4,False,False,False,False,False,False
AN_GNG_125,AN_GNG_28,5,False,False,False,False,False,False
AN_GNG_125,LMt3,2,False,False,False,False,False,False
AN_GNG_125,LMt3,3,False,False,False,False,False,False
AN_GNG_125,LMt3,4,False,False,False,False,False,False
AN_GNG_125,LMt3,5,False,False,False,False,False,False
AN_GNG_125,CB1650,2,False,False,False,False,False,False
AN_GNG_125,CB1650,3,False,False,False,False,False,False
AN_GNG_125,CB1650,4,False,False,False,False,False,False
AN_GNG_125,CB1650,5,False,False,False,False,False,False
AN_GNG_125,CB3175,2,False,False,False,False,False,False
AN_GNG_125,CB3175,3,False,False,False,False,False,False
AN_GNG_125,CB3175,4,False,False,False,False,False,False
AN_GNG_125,CB3175,5,False,False,False,False,False,False
AN_GNG_125,CB2398,2,False,False,False,False,False,False
AN_GNG_125,CB2398,3,False,False,False,False,False,False
AN_GNG_125,CB2398,4,False,False,False,False,False,False
AN_GNG_125,CB2398,5,False,False,False,False,False,False
AN_GNG_125,CB2157,2,False,False,False,False,False,False
AN_GNG_125,CB2157,3,False,False,False,False,False,False
AN_GNG_125,CB2157,4,False,False,False,False,False,False
AN_GNG_125,CB2157,5,False,False,False,False,False,False
AN_GNG_125,CB2120,2,False,False,False,False,False,False
AN_GNG_125,CB2120,3,False,False,False,False,False,False
AN_GNG_125,CB2120,4,False,False,False,False,False,False
AN_GNG_125,CB2120,5,False,False,False,False,False,False
AN_GNG_125,SLP462,2,False,False,False,False,False,False
AN_GNG_125,SLP462,3,False,False,False,False,False,False
AN_GNG_125,SLP462,4,False,False,False,False,False,False
AN_GNG_125,SLP462,5,False,False,False,False,False,False
AN_GNG_125,LHAV2b7_a,2,False,False,False,False,False,False
AN_GNG_125,LHAV2b7_a,3,False,False,False,False,False,False
AN_GNG_125,LHAV2b7_a,4,False,False,False,False,False,False
AN_GNG_125,LHAV2b7_a,5,False,False,False,False,False,False
AN_GNG_125,CB0671,2,False,False,False,False,False,False
AN_GNG_125,CB0671,3,False,False,False,False,False,False
AN_GNG_125,CB0671,4,False,False,False,False,False,False
AN_GNG_125,CB0671,5,False,False,False,False,False,False
AN_GNG_125,LHAV2k10,2,False,False,False,False,False,False
AN_GNG_125,LHAV2k10,3,False,False,False,False,False,False
AN_GNG_125,LHAV2k10,4,False,False,False,False,False,False
AN_GNG_125,LHAV2k10,5,False,False,False,False,False,False
