,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign,coords
4148,720575940629155227,DNpe021,right,acetylcholine,descending,,,SMPpv2_ventral,CP1_ventral,92496,1,
4149,720575940622102709,CB1831,right,acetylcholine,central,,,DM6_dorso_lateral,CM3_dorso_lateral,53268,1,
4150,720575940627149723,PS193a,right,glutamate,central,,,PSp1,DPMl2,80888,-1,
4151,720575940621761791,PS096,right,gaba,central,,,PSa1,BAmv2,51334,-1,
4152,720575940627089545,CB1118,left,acetylcholine,central,,,VPNl&d1_dorsal,BLAl2_dorsal,80508,1,
4153,720575940646493038,CB0982,right,gaba,central,,,LB3,LB3,135670,-1,
4154,720575940637696858,LHAV2a3b,right,acetylcholine,central,,,LHa2,BLVa1,123577,1,
4155,720575940621887270,KCg-d,right,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,52072,1,
4156,720575940611169242,SMP092,right,glutamate,central,,,SMPad1,DAMv1_or_2,10728,-1,
4157,720575940622331882,VP3+_l2PN,right,acetylcholine,central,ALPN,multiglomerular,ALl1_ventral,BAlc_ventral,54656,1,
4158,720575940607632579,DNpe047,left,acetylcholine,descending,,,SMPpv1,DPMpl1,4906,1,
4159,720575940648383108,LLPC4,right,acetylcholine,visual_projection,,,,,136785,1,
4160,720575940622175114,CB1329,left,gaba,central,,,DL1_ventral,CP2_ventral,53713,-1,
4161,720575940640145115,CB1833,right,glutamate,central,,,SMPad2,DAMd2_or_3,129137,-1,
4162,720575940628238473,CB1305,left,acetylcholine,central,,,LHa2,BLVa1,87345,1,
4163,720575940611648209,LHAV1a3,left,acetylcholine,central,,,VLPl&p2_lateral,BLVp1_anterior,11909,1,
4164,720575940635968942,CB1834,right,acetylcholine,central,,,DM4_ventral,CM4_ventral,119707,1,
4165,720575940637660733,DNg01_a,left,acetylcholine,descending,,,LB12,LB12,123471,1,
4166,720575940631574636,SLP467b,left,acetylcholine,central,,,SLPad1_anterior,DPLl3_anterior,105016,1,
4167,720575940611997146,CB1042,left,gaba,central,,,LALv1_ventral,BAmv1_ventral,12851,-1,
4168,720575940614736559,CB.FB7E1,left,glutamate,central,CX,tangential,DL1_dorsal,CP2_dorsal,21483,-1,
4169,720575940619061999,CB1722,right,gaba,central,,,LHl1,BLD4,37801,-1,
4170,720575940614600879,SMP043,right,glutamate,central,,,putative_primary,putative_primary,20935,-1,
4171,720575940624853031,LHAV2b2a,right,acetylcholine,central,,,VLPl2_posterior,BLAv2_posterior,68686,1,
4172,720575940615076213,CB1181,right,acetylcholine,central,,,LHa3,BLVa2,22630,1,
4173,720575940614817117,SMP446a,left,glutamate,central,,,SMPp&v1_posterior,DPLc5_anterior,21779,-1,
4174,720575940627888144,VES001,left,glutamate,central,,,putative_primary,putative_primary,85287,-1,
4175,720575940631498819,KCapbp-ap1,right,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,104640,1,
4176,720575940659277441,MTe03,left,acetylcholine,visual_projection,,,,,138633,1,
4177,720575940627158866,KCg-m,left,acetylcholine,central,Kenyon_Cell,,MBp3,MBp3,80961,1,
4178,720575940636282431,LC40,left,acetylcholine,visual_projection,,,VLPp&l1_lateral,DPLpv_lateral,120384,1,
4179,720575940624939036,CB1835,right,glutamate,central,,,SLPpm1,DPLm1,69199,-1,
4180,720575940629058391,CB1372,left,acetylcholine,central,,,FLAa2,BAmas1,92000,1,
4181,720575940619917248,PAM05,right,dopamine,central,DAN,,CREa2_medial,DALcm1_medial,41127,1,
4182,720575940638494416,"PFNm,PFNp",left,acetylcholine,central,CX,,DM3_CX_p,DPMpm2_CX_p,125357,1,
4183,720575940629361346,720575940629361346,center,gaba,central,,,LB0_anterior,LB0_anterior,93469,-1,
4184,720575940631984610,CB1836,left,glutamate,central,,,DM6_posterior,CM3_posterior,106803,-1,
4185,720575940610586597,SMP452,right,glutamate,central,,,SMPp&v1_posterior,DPLc5_anterior,9491,-1,
4186,720575940616777797,CL235,left,glutamate,central,,,,,28507,-1,
4187,720575940635084639,LCe02,left,acetylcholine,visual_projection,,,,,117239,1,
4188,720575940634844408,CB0963,right,acetylcholine,central,,,LB5,LB5,116612,1,
4189,720575940616296987,CB1837,right,glutamate,central,,,SIPa1_ventral,BLAd2_ventral,26885,-1,
4190,720575940622633203,KCab,right,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,56280,1,
4191,720575940638924378,l-LNv,left,serotonin,optic,bilateral,,putative_primary,putative_primary,126337,1,
4192,720575940638799011,CB1838,left,gaba,central,,,SLPav3,BLVa2a,126052,-1,
4193,720575940625585182,CB1839,right,acetylcholine,central,,,VLPl1_or_VLPl5,BLVa3_or_4,72431,1,
4194,720575940611881970,PS029,left,acetylcholine,central,,,AOTUv1_ventral,DALcm2_ventral,12548,1,
4195,720575940620774388,CB0640,left,acetylcholine,central,,,LALa1_posterior,BAlp2_posterior,45596,1,
4196,720575940623154429,LC11,right,acetylcholine,visual_projection,,,VPNp3,,59334,1,
4197,720575940621396115,LC12,left,acetylcholine,visual_projection,,,,,49158,1,
4198,720575940625442795,SLP286a,left,glutamate,central,,,SLPpm1,DPLm1,71729,-1,
