,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
80111,720575940622265162,T3,right,acetylcholine,optic,ME>LO,,18766,1
80112,720575940616178293,Tm4,right,acetylcholine,optic,ME>LO,,8992,1
80113,720575940614855464,L2,right,acetylcholine,optic,LA>ME,L1-5,7478,1
80114,720575940626973715,TmY9,right,acetylcholine,optic,ME>LO.LOP,,27480,1
80115,720575940645151432,C2,right,gaba,optic,ME>LA,,46775,-1
80116,720575940605581024,Mi1,right,acetylcholine,optic,ME,columnar,598,1
80117,720575940626345490,T5d,right,acetylcholine,optic,LO>LOP,,26237,1
80122,720575940623706549,T4c,right,acetylcholine,optic,ME>LOP,,21589,1
80124,720575940659801985,Tm8,right,acetylcholine,optic,ME>LO,,48280,1
80125,720575940626315397,T4b,right,acetylcholine,optic,ME>LOP,,26191,1
80127,720575940614974110,T5b,right,acetylcholine,optic,LO>LOP,,7613,1
80128,720575940623824713,T4a,right,acetylcholine,optic,ME>LOP,,21782,1
80129,720575940614971550,T4b,right,acetylcholine,optic,ME>LOP,,7604,1
80130,720575940623863531,Mi4,right,gaba,optic,ME,columnar,21847,-1
80131,720575940616452950,T4c,right,acetylcholine,optic,ME>LOP,,9318,1
80132,720575940649454201,Tm1,right,acetylcholine,optic,ME>LO,,47711,1
80134,720575940636988813,Mi1,right,acetylcholine,optic,ME,columnar,42287,1
80135,720575940628549653,T5b,right,acetylcholine,optic,LO>LOP,,30899,1
80136,720575940626820538,T5a,right,acetylcholine,optic,LO>LOP,,27123,1
80137,720575940626217085,T4a,right,acetylcholine,optic,ME>LOP,,26043,1
80141,720575940626047492,T4a,right,acetylcholine,optic,ME>LOP,,25782,1
80142,720575940620651174,Tm1,right,acetylcholine,optic,ME>LO,,15372,1
80144,720575940605669553,720575940605669553,right,acetylcholine,optic,ME>LO,,637,1
80145,720575940629684739,TmY20,right,acetylcholine,optic,LOP>LO,,32860,1
80146,720575940620516288,Mi4,right,gaba,optic,ME,columnar,15081,-1
80148,720575940629834240,C2,right,gaba,optic,ME>LA,,33105,-1
80149,720575940639841699,T3,right,acetylcholine,optic,ME>LO,,44563,1
80150,720575940627072698,720575940627072698,right,acetylcholine,optic,ME,,27713,1
80152,720575940644582423,T3,right,acetylcholine,optic,ME>LO,,46539,1
80153,720575940617504290,T3,right,acetylcholine,optic,ME>LO,,10685,1
80154,720575940625691066,TmY3,right,acetylcholine,optic,ME>LO.LOP,,25185,1
80155,720575940637751017,C3,right,gaba,optic,ME>LA,,42903,-1
80164,720575940620994214,Mi13,right,gaba,optic,ME,,16144,-1
80165,720575940661041025,Mi4,right,gaba,optic,ME,columnar,48387,-1
80166,720575940625958444,T4b,right,acetylcholine,optic,ME>LOP,,25610,1
80168,720575940625956396,T5d,right,acetylcholine,optic,LO>LOP,,25604,1
