,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
131549,720575940614159075,R1-6,left,acetylcholine,sensory,visual,,6492,1
131550,720575940612150734,R1-6,left,acetylcholine,sensory,visual,,4317,1
131556,720575940620600779,R1-6,left,acetylcholine,sensory,visual,,15120,1
131557,720575940628080261,R1-6,left,acetylcholine,sensory,visual,,30132,1
131558,720575940621099685,R1-6,left,acetylcholine,sensory,visual,,16238,1
131560,720575940615294375,R1-6,left,acetylcholine,sensory,visual,,7874,1
131561,720575940611991650,R1-6,left,acetylcholine,sensory,visual,,4165,1
131562,720575940644418976,R1-6,left,acetylcholine,sensory,visual,,47039,1
131565,720575940655781281,R1-6,left,acetylcholine,sensory,visual,,48896,1
131566,720575940630564599,R1-6,left,acetylcholine,sensory,visual,,34784,1
131568,720575940636992375,R1-6,left,acetylcholine,sensory,visual,,42933,1
131569,720575940629106950,R1-6,left,acetylcholine,sensory,visual,,32218,1
131570,720575940632648248,R1-6,left,acetylcholine,sensory,visual,,38517,1
131572,720575940629678339,R1-6,left,acetylcholine,sensory,visual,,33231,1
131573,720575940625339116,R1-6,left,acetylcholine,sensory,visual,,24927,1
131574,720575940626705189,R1-6,left,acetylcholine,sensory,visual,,27253,1
131582,720575940640625059,R1-6,left,acetylcholine,sensory,visual,,45856,1
131583,720575940614765864,R1-6,left,acetylcholine,sensory,visual,,7183,1
131584,720575940629304838,R1-6,left,acetylcholine,sensory,visual,,32582,1
131589,720575940621459393,R1-6,left,acetylcholine,sensory,visual,,16946,1
131590,720575940619868062,R1-6,left,acetylcholine,sensory,visual,,13967,1
131591,720575940628347921,R1-6,left,acetylcholine,sensory,visual,,30722,1
131592,720575940611685586,R1-6,left,acetylcholine,sensory,visual,,3905,1
131593,720575940621461953,R1-6,left,acetylcholine,sensory,visual,,16950,1
131597,720575940624191782,R1-6,left,acetylcholine,sensory,visual,,22661,1
131598,720575940621674587,R1-6,left,acetylcholine,sensory,visual,,17418,1
131600,720575940622881118,R1-6,left,acetylcholine,sensory,visual,,19887,1
131604,720575940606394982,R1-6,left,acetylcholine,sensory,visual,,1022,1
131605,720575940630161767,R1-6,left,acetylcholine,sensory,visual,,34073,1
131606,720575940608121266,R1-6,left,acetylcholine,sensory,visual,,1827,1
131608,720575940622866345,R1-6,left,acetylcholine,sensory,visual,,19864,1
131609,720575940641383120,R1-6,left,acetylcholine,sensory,visual,,46263,1
131611,720575940653252854,R1-6,left,acetylcholine,sensory,visual,,48681,1
131612,720575940625675196,R1-6,left,acetylcholine,sensory,visual,,25499,1
131613,720575940634984092,R1-6,left,acetylcholine,sensory,visual,,41062,1
131614,720575940639857085,R1-6,left,acetylcholine,sensory,visual,,45126,1
131615,720575940609449995,R1-6,left,acetylcholine,sensory,visual,,2482,1
131616,720575940623059068,R1-6,left,acetylcholine,sensory,visual,,20256,1
131617,720575940621813357,R1-6,left,acetylcholine,sensory,visual,,17719,1
131620,720575940618937371,R1-6,left,acetylcholine,sensory,visual,,12786,1
131621,720575940627794206,R1-6,left,acetylcholine,sensory,visual,,29506,1
131622,720575940615209937,R1-6,left,acetylcholine,sensory,visual,,7760,1
