,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
1018,09B,ascending neuron,glutamate,T2,LHS,AN09B030,AN09B030,RHS,AN09B030_T2_R,AN09B030_T2_R,-1,717
1019,,sensory neuron,acetylcholine,,LHS,SNpp14,SNpp14,,SNpp14_DMetaN_L,SNpp14_DMetaN_L,1,11171
1020,16B,intrinsic neuron,glutamate,T2,,IN16B062,IN16B062,LHS,IN16B062_T2_L,IN16B062_T2_L,-1,7412
1021,,sensory neuron,acetylcholine,,RHS,SNta19,SNta19,,SNta19_MesoLN_R,SNta19_MesoLN_R,-1,11382
1022,19A,intrinsic neuron,acetylcholine,T3,,IN19A034,IN19A034,LHS,IN19A034_T3_L,IN19A034_T3_L,1,8090
1023,17A,intrinsic neuron,acetylcholine,T2,,IN17A016,IN17A016,LHS,IN17A016_T2_L,IN17A016_T2_L,1,7579
1024,14B,intrinsic neuron,glutamate,T2,,IN14B009,IN14B009,RHS,IN14B009_T2_R,IN14B009_T2_R,-1,7271
1026,04B,intrinsic neuron,acetylcholine,T2,,IN04B057,IN04B057,RHS,IN04B057_T2_R,IN04B057_T2_R,1,3903
1027,17A,intrinsic neuron,glutamate,T3,,IN17A110,IN17A110,LHS,IN17A110_T3_L,IN17A110_T3_L,-1,7792
1029,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A063,IN20A.22A063,RHS,IN20A.22A063_T3_R,IN20A.22A063_T3_R,1,8699
1030,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A017,IN20A.22A017,RHS,IN20A.22A017_T2_R,IN20A.22A017_T2_R,1,8559
1031,10B,ascending neuron,acetylcholine,T3,RHS,AN10B046,AN10B046,LHS,AN10B046_T3_L,AN10B046_T3_L,1,846
1032,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A015,IN20A.22A015,RHS,IN20A.22A015_T1_R,IN20A.22A015_T1_R,1,8551
1033,,sensory neuron,acetylcholine,,RHS,SNpp47,SNpp47,,SNpp47_MetaLN_R,SNpp47_MetaLN_R,-1,11268
1034,16B,intrinsic neuron,glutamate,T2,,IN16B097,IN16B097,RHS,IN16B097_T2_R,IN16B097_T2_R,-1,7495
1036,04B,intrinsic neuron,acetylcholine,T2,,IN04B017,IN04B017,LHS,IN04B017_T2_L,IN04B017_T2_L,1,3812
1037,,sensory neuron,acetylcholine,,LHS,SNpp28,SNpp28,,SNpp28_ADMN_L,SNpp28_ADMN_L,1,11201
1038,,sensory neuron,glutamate,,LHS,SNta44,SNta44,,SNta44_MetaLN_L,SNta44_MetaLN_L,-1,11514
1039,07B,intrinsic neuron,acetylcholine,T3,,IN07B067,IN07B067,LHS,IN07B067_T3_L,IN07B067_T3_L,1,4771
1040,12B,intrinsic neuron,gaba,T3,,IN12B025,IN12B025,LHS,IN12B025_T3_L,IN12B025_T3_L,-1,6012
1042,19B,ascending neuron,acetylcholine,T1,RHS,AN19B004,AN19B004,LHS,AN19B004_T1_L,AN19B004_T1_L,1,1082
1043,06B,intrinsic neuron,gaba,T2,,IN06B012,IN06B012,RHS,IN06B012_T2_R,IN06B012_T2_R,-1,4493
1045,08B,intrinsic neuron,acetylcholine,T3,,IN08B088,IN08B088,LHS,IN08B088_T3_L,IN08B088_T3_L,1,5053
1046,08A,intrinsic neuron,glutamate,T2,,IN08A011,IN08A011,RHS,IN08A011_T2_R,IN08A011_T2_R,-1,4860
1047,07B,ascending neuron,acetylcholine,T1,RHS,AN07B069,AN07B069,LHS,AN07B069_T1_L,AN07B069_T1_L,1,432
1048,13A,intrinsic neuron,gaba,T3,,IN13A009,IN13A009,RHS,IN13A009_T3_R,IN13A009_T3_R,-1,6284
1049,21A,intrinsic neuron,glutamate,T1,,IN21A015,IN21A015,LHS,IN21A015_T1_L,IN21A015_T1_L,-1,8866
1051,09A,intrinsic neuron,gaba,T1,,IN09A050,IN09A050,RHS,IN09A050_T1_R,IN09A050_T1_R,-1,5273
1052,,sensory neuron,glutamate,,LHS,SNch08,SNch14,,SNch14_ProLN_L,SNch14_ProLN_L,-1,11139
1053,14B,intrinsic neuron,gaba,T1,,IN14B002,IN14B002,RHS,IN14B002_T1_R,IN14B002_T1_R,-1,7253
1054,16B,intrinsic neuron,glutamate,T2,,IN16B020,IN16B020,RHS,IN16B020_T2_R,IN16B020_T2_R,-1,7304
1055,19A,intrinsic neuron,gaba,T3,,IN19A045,IN19A045,LHS,IN19A045_T3_L,IN19A045_T3_L,-1,8108
1058,,sensory neuron,acetylcholine,,LHS,SNta35,SNta35,,SNta35_MesoLN_L,SNta35_MesoLN_L,1,11465
1059,09B,ascending neuron,acetylcholine,A1,LHS,AN09B023,AN09B023,RHS,AN09B023_A1_R,AN09B023_A1_R,1,693
1060,,descending neuron,acetylcholine,,RHS,DNxn177,DNxn177,,DNxn177_CvC_R,DNxn177_CvC_R,1,2358
1061,05B,intrinsic neuron,gaba,T3,,IN05B012,IN05B012,LHS,IN05B012_T3_L,IN05B012_T3_L,-1,4069
1062,03B,intrinsic neuron,glutamate,T1,,IN03B081,IN03B081,LHS,IN03B081_T1_L,IN03B081_T1_L,-1,3745
1064,03B,intrinsic neuron,gaba,A1,,IN03B067,IN03B067,RHS,IN03B067_A1_R,IN03B067_A1_R,-1,3718
1065,14B,intrinsic neuron,glutamate,T3,,IN14B005,IN14B005,LHS,IN14B005_T3_L,IN14B005_T3_L,-1,7260
1066,,sensory neuron,glutamate,,RHS,SNta29,SNta29,,SNta29_ProLN_R,SNta29_ProLN_R,-1,11437
1067,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A017,IN20A.22A017,RHS,IN20A.22A017_T3_R,IN20A.22A017_T3_R,1,8561
1069,,descending neuron,gaba,,LHS,DNxl031,DNg52,,DNxl031_CvC_L,DNxl031_CvC_L,-1,1804
1070,,sensory neuron,acetylcholine,,LHS,SNta30,SNta30,,SNta30_MetaLN_L,SNta30_MetaLN_L,-1,11440
1071,,sensory neuron,glutamate,,RHS,SNta38,SNta38,,SNta38_MesoLN_R,SNta38_MesoLN_R,1,11479
1073,,descending neuron,gaba,,LHS,DNxn010,DNc01,,DNxn010_CvC_L,DNxn010_CvC_L,-1,2029
1076,04B,intrinsic neuron,acetylcholine,T1,,IN04B020,IN04B020,LHS,IN04B020_T1_L,IN04B020_T1_L,1,3818
1077,,descending neuron,acetylcholine,,RHS,DNxn139,DNxn139,,DNxn139_CvC_R,DNxn139_CvC_R,1,2282
1079,19A,intrinsic neuron,acetylcholine,T3,,IN19A028,IN19A028,LHS,IN19A028_T3_L,IN19A028_T3_L,1,8066
1082,19A,intrinsic neuron,gaba,T2,,IN19A022,IN19A022,LHS,IN19A022_T2_L,IN19A022_T2_L,-1,8050
1083,07B,intrinsic neuron,acetylcholine,T3,,IN07B079,IN07B079,RHS,IN07B079_T3_R,IN07B079_T3_R,1,4786
1084,21A,intrinsic neuron,glutamate,T2,,IN21A104,IN21A104,RHS,IN21A104_T2_R,IN21A104_T2_R,-1,9117
1085,01B,intrinsic neuron,gaba,T2,,IN01B090,IN01B090,RHS,IN01B090_T2_R,IN01B090_T2_R,-1,3106
1086,09A,intrinsic neuron,gaba,T1,,IN09A016,IN09A016,LHS,IN09A016_T1_L,IN09A016_T1_L,-1,5133
1087,17B,intrinsic neuron,gaba,A1,,IN17B006,IN17B006,RHS,IN17B006_A1_R,IN17B006_A1_R,-1,7823
1088,09A,intrinsic neuron,gaba,T1,,IN09A062,IN09A062,LHS,IN09A062_T1_L,IN09A062_T1_L,-1,5306
1089,,descending neuron,gaba,,RHS,DNut041,DNut041,,DNut041_CvC_R,DNut041_CvC_R,-1,1701
1090,,descending neuron,acetylcholine,,LHS,DNxl001,DNa01,,DNxl001_CvC_L,DNxl001_CvC_L,1,1744
