idx,hitting_time,bodyId,cell_type,side,coords,nt,sign,cell_type_side
269,2.752298260055716,12236,LC31b,right,,unclear,1,LC31b_right
270,1.996278574939708,12240,aMe17b,right,,gaba,-1,aMe17b_right
271,2.220477084351268,12254,5thsLNv_LNd6,right,,acetylcholine,1,5thsLNv_LNd6_right
272,2.1959742015361083,12295,aMe20,right,,unclear,1,aMe20_right
273,2.885523887719472,12328,Nod5,right,,acetylcholine,1,Nod5_right
274,2.1721522510606683,12382,MeVP28,right,,acetylcholine,1,MeVP28_right
275,2.0,12398,AN27X013,left,,unclear,1,AN27X013_left
276,2.5712915933485023,12415,MeLo8,right,,gaba,-1,MeLo8_right
277,2.335637422988869,12416,MeVP38,right,,acetylcholine,1,MeVP38_right
278,2.155562422362591,12428,MeVP9,right,,acetylcholine,1,MeVP9_right
279,1.0001870910267474,12436,Dm19,right,,glutamate,-1,Dm19_right
280,2.2705944426050717,12439,LT84,right,,acetylcholine,1,LT84_right
281,2.126195725742286,12440,MeVPaMe1,right,,acetylcholine,1,MeVPaMe1_right
282,2.3413178174279783,12456,Cm30,right,,gaba,-1,Cm30_right
283,2.300229924024866,12468,LoVC13,right,,gaba,-1,LoVC13_right
284,2.3912445629860684,12475,LoVC15,right,,gaba,-1,LoVC15_right
285,2.350944336645051,12505,Li12,right,,glutamate,-1,Li12_right
286,3.035517661531093,12517,aMe12,left,,acetylcholine,1,aMe12_left
287,2.98949415169839,12521,HST,right,,unclear,1,HST_right
288,2.673542709156684,12528,MeVPMe5,left,,glutamate,-1,MeVPMe5_left
289,1.0015542788279912,12538,Dm6,right,,glutamate,-1,Dm6_right
290,1.0003486044994712,12540,Dm19,right,,glutamate,-1,Dm19_right
291,2.234142242266572,12586,LC14a-1,left,,acetylcholine,1,LC14a-1_left
292,2.00948837676475,12591,MeVPMe1,right,,glutamate,-1,MeVPMe1_right
293,2.0621002286059307,12630,Mi19,right,,serotonin,1,Mi19_right
294,1.000363739961608,12632,Dm19,right,,glutamate,-1,Dm19_right
295,2.640400871622468,12638,MeLo8,right,,gaba,-1,MeLo8_right
296,1.4314754614081129,12639,MeVP43,right,,acetylcholine,1,MeVP43_right
297,2.5142476978548585,12640,MeVP59,right,,acetylcholine,1,MeVP59_right
298,2.049597335337907,12643,Cm32,right,,gaba,-1,Cm32_right
299,2.0399656046181924,12662,MeVPMe4,right,,glutamate,-1,MeVPMe4_right
300,2.214911860530057,12686,LoVP96,right,,glutamate,-1,LoVP96_right
301,2.534440761153135,12688,OA-ASM1,right,,octopamine,1,OA-ASM1_right
302,2.836033116484637,12697,MeVC8,left,,acetylcholine,1,MeVC8_left
303,2.518597363599152,12704,MeVPMe5,right,,glutamate,-1,MeVPMe5_right
304,2.9250377115455253,12712,LC33,right,,glutamate,-1,LC33_right
305,2.15900363805842,12713,Cm33,right,,gaba,-1,Cm33_right
306,2.0006385968221965,12718,aMe17b,right,,gaba,-1,aMe17b_right
307,1.0013561711456558,12719,Dm6,right,,glutamate,-1,Dm6_right
308,1.2028281445128708,12727,aMe30,right,,glutamate,-1,aMe30_right
309,2.2393251120104485,12737,aMe12,left,,acetylcholine,1,aMe12_left
310,1.2066631528354703,12740,aMe12,right,,acetylcholine,1,aMe12_right
311,2.4565396524728054,12748,MeVPMe5,left,,glutamate,-1,MeVPMe5_left
312,2.507001174377172,12760,MeVPMe4,left,,glutamate,-1,MeVPMe4_left
313,2.026489330720445,12764,MeVP9,right,,acetylcholine,1,MeVP9_right
314,2.0175094046696778,12799,MeVPMe1,right,,glutamate,-1,MeVPMe1_right
315,2.012976365823389,12805,MeVPMe7,left,,glutamate,-1,MeVPMe7_left
316,1.0003111736404615,12823,Dm19,right,,glutamate,-1,Dm19_right
317,2.04390956626889,12861,Mi19,right,,serotonin,1,Mi19_right
318,2.559175714835872,12863,MeVC20,right,,glutamate,-1,MeVC20_right
319,1.1740352115173462,12872,aMe30,right,,glutamate,-1,aMe30_right
320,1.0002720073265965,12884,Dm19,right,,glutamate,-1,Dm19_right
321,2.483777204088828,12912,MeLo8,right,,gaba,-1,MeLo8_right
322,2.441157012037808,12927,MeVPMe5,left,,glutamate,-1,MeVPMe5_left
323,2.37104300850748,12931,LoVC15,right,,gaba,-1,LoVC15_right
324,1.458883583750048,12956,Mi2,right,,glutamate,-1,Mi2_right
325,2.819348575419181,12957,LT61b,right,,acetylcholine,1,LT61b_right
326,1.0,12970,T1,right,"-10,48",unclear,1,T1_right
327,1.986429801674244,12971,Dm13,right,,gaba,-1,Dm13_right
328,2.8102851172660817,12973,LPT30,right,,acetylcholine,1,LPT30_right
329,2.594598976601375,12979,LT75,right,,unclear,1,LT75_right
330,1.0003819193956058,12986,Dm19,right,,glutamate,-1,Dm19_right
331,2.3848358181495195,12987,Li12,right,,glutamate,-1,Li12_right
332,2.04669552758827,13039,Mi19,right,,serotonin,1,Mi19_right
333,2.4155551354429967,13040,MeVC7a,left,,acetylcholine,1,MeVC7a_left
334,2.5874604781842483,13051,MeLo8,right,,gaba,-1,MeLo8_right
335,2.2586255843942658,13076,MeVP25,right,,unclear,1,MeVP25_right
336,2.303539938090592,13090,LT51,right,,unclear,1,LT51_right
337,2.1477944058752247,13113,Cm29,right,,gaba,-1,Cm29_right
338,2.333117694199231,13120,MeVPMe5,right,,glutamate,-1,MeVPMe5_right
339,2.002774781957481,13174,MeVP50,right,,unclear,1,MeVP50_right
340,1.1703616154501093,13190,aMe12,right,,acetylcholine,1,aMe12_right
341,2.3441608732269854,13196,LoVP86,right,,acetylcholine,1,LoVP86_right
342,2.8344514198579587,13211,LPT114,right,,gaba,-1,LPT114_right
343,2.5425639972431697,13214,MeVPMe4,left,,glutamate,-1,MeVPMe4_left
344,1.001362235386726,13260,Dm6,right,,glutamate,-1,Dm6_right
345,1.001467023612293,13265,Dm6,right,,glutamate,-1,Dm6_right
346,2.1589090173555787,13285,MeVP41,right,,acetylcholine,1,MeVP41_right
347,2.809553349526276,13298,MeVP45,right,,acetylcholine,1,MeVP45_right
348,2.752322087298709,13326,LoVP79,right,,unclear,1,LoVP79_right
349,1.7039306594973542,13328,SLP250,right,,unclear,1,SLP250_right
350,2.928360175283114,13333,LPT111,right,,gaba,-1,LPT111_right
351,2.104065084642392,13362,aMe25,right,,unclear,1,aMe25_right
352,2.587194925830397,13376,Li30,right,,gaba,-1,Li30_right
353,2.75287697687809,13387,aMe9,left,,acetylcholine,1,aMe9_left
354,2.143229750776767,13447,Cm29,right,,gaba,-1,Cm29_right
355,2.3814576935515657,13457,aMe13,right,,unclear,1,aMe13_right
356,2.0002823226007065,13462,Pm7,right,,gaba,-1,Pm7_right
357,2.507324651445637,13473,LoVP49,right,,acetylcholine,1,LoVP49_right
358,2.0001695182184744,13494,Dm13,right,,gaba,-1,Dm13_right
359,2.517858380940456,13497,LT51,right,,unclear,1,LT51_right
360,1.9905795214109243,13506,Dm13,right,,gaba,-1,Dm13_right
361,1.9966846268026512,13511,Dm13,right,,gaba,-1,Dm13_right
362,1.0009771336307267,13530,Dm6,right,,glutamate,-1,Dm6_right
363,2.9870699825816205,13532,LPT23,right,,acetylcholine,1,LPT23_right
