bodyId,cell_type,side,idx,nt,sign
102100,T5b,right,32712,acetylcholine,1
102101,TmY18,right,32713,acetylcholine,1
102105,T4b,right,32714,acetylcholine,1
102108,L5,right,32715,acetylcholine,1
102110,Tm9,right,32716,acetylcholine,1
102112,T4c,right,32717,acetylcholine,1
102113,T4b,right,32718,acetylcholine,1
102114,T2a,right,32719,acetylcholine,1
102117,TmY4,right,32720,acetylcholine,1
102118,T4a,right,32721,acetylcholine,1
102119,T4b,right,32722,acetylcholine,1
102120,T4d,right,32723,acetylcholine,1
102122,L5,right,32724,acetylcholine,1
102123,Tm9,right,32725,acetylcholine,1
102124,Mi9,right,32726,glutamate,-1
102126,Tm9,right,32727,acetylcholine,1
102127,C2,right,32728,gaba,-1
102128,T5a,right,32729,acetylcholine,1
102130,Mi13,right,32730,glutamate,-1
102132,L5,right,32731,acetylcholine,1
102134,T4c,right,32732,acetylcholine,1
102135,Tm6,right,32733,acetylcholine,1
102137,Dm8b,right,32734,glutamate,-1
102138,T4a,right,32735,acetylcholine,1
102139,Mi9,right,32736,glutamate,-1
102140,T5b,right,32737,acetylcholine,1
102145,TmY18,right,32738,acetylcholine,1
102146,Tm29,right,32739,glutamate,-1
102147,T4c,right,32740,acetylcholine,1
102150,L4,right,32741,acetylcholine,1
102151,T5c,right,32742,acetylcholine,1
102153,T4c,right,32743,acetylcholine,1
102162,Mi13,right,32744,glutamate,-1
102166,Dm8a,right,32745,glutamate,-1
102170,T4b,right,32746,acetylcholine,1
102174,LoVP9,right,32747,unclear,1
102176,Tm12,right,32748,acetylcholine,1
102178,L5,right,32749,acetylcholine,1
102180,Mi9,right,32750,glutamate,-1
102182,Tm9,right,32751,acetylcholine,1
102184,Mi9,right,32752,glutamate,-1
102185,Tm6,right,32753,acetylcholine,1
102187,T5d,right,32754,acetylcholine,1
102189,T2a,right,32755,acetylcholine,1
102195,T5b,right,32756,acetylcholine,1
102197,TmY18,right,32757,acetylcholine,1
102198,Tm6,right,32758,acetylcholine,1
102204,Tm9,right,32759,acetylcholine,1
102206,T5c,right,32760,acetylcholine,1
102207,Mi9,right,32761,glutamate,-1
102208,Mi9,right,32762,glutamate,-1
102220,T4a,right,32763,acetylcholine,1
102225,Dm9,right,32764,glutamate,-1
102228,L4,right,32765,acetylcholine,1
102229,T4d,right,32766,acetylcholine,1
102231,Tm6,right,32767,acetylcholine,1
102232,T5a,right,32768,acetylcholine,1
102233,T5a,right,32769,acetylcholine,1
102237,Tm6,right,32770,acetylcholine,1
102239,LoVP7,right,32771,unclear,1
102240,T4c,right,32772,acetylcholine,1
102242,L5,right,32773,acetylcholine,1
102243,L3,right,32774,acetylcholine,1
102247,T4b,right,32775,acetylcholine,1
102251,L4,right,32776,acetylcholine,1
102253,Li23,right,32777,acetylcholine,1
102257,T4a,right,32778,acetylcholine,1
102261,Tm5Y,right,32779,acetylcholine,1
102262,Tm6,right,32780,acetylcholine,1
102263,L3,right,32781,acetylcholine,1
102268,T5b,right,32782,acetylcholine,1
102272,T4b,right,32783,acetylcholine,1
102273,Tm9,right,32784,acetylcholine,1
102274,T4b,right,32785,acetylcholine,1
102276,Tm9,right,32786,acetylcholine,1
102278,T5a,right,32787,acetylcholine,1
102285,Tm6,right,32788,acetylcholine,1
102286,Dm8a,right,32789,glutamate,-1
102295,T4d,right,32790,acetylcholine,1
102297,L5,right,32791,acetylcholine,1
102298,T4c,right,32792,acetylcholine,1
102299,Tm29,right,32793,glutamate,-1
102302,Mi2,right,32794,glutamate,-1
102312,T5a,right,32795,acetylcholine,1
102313,Tm1,right,32796,acetylcholine,1
102314,T5a,right,32797,acetylcholine,1
102321,Cm6,right,32798,gaba,-1
102322,Dm8a,right,32799,glutamate,-1
102325,Tm6,right,32800,acetylcholine,1
